iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
SDN,Africa,Sudan,2020-03-12,,,22.714,,,3.0,,,0.506,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-13,,,,1.0,1.0,,,,,0.022,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-14,1.0,1.0,,1.0,0.0,,0.022,0.022,,0.022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-15,1.0,0.0,,1.0,0.0,,0.022,0.0,,0.022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-16,1.0,0.0,,1.0,0.0,,0.022,0.0,,0.022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-17,1.0,0.0,,1.0,0.0,,0.022,0.0,,0.022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-18,1.0,0.0,,1.0,0.0,,0.022,0.0,,0.022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-19,1.0,0.0,0.143,1.0,0.0,0.143,0.022,0.0,0.003,0.022,0.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-20,1.0,0.0,0.143,1.0,0.0,0.0,0.022,0.0,0.003,0.022,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-21,2.0,1.0,0.143,1.0,0.0,0.0,0.045,0.022,0.003,0.022,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-22,2.0,0.0,0.143,1.0,0.0,0.0,0.045,0.0,0.003,0.022,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-23,2.0,0.0,0.143,1.0,0.0,0.0,0.045,0.0,0.003,0.022,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-24,3.0,1.0,0.286,1.0,0.0,0.0,0.067,0.022,0.006,0.022,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-25,3.0,0.0,0.286,1.0,0.0,0.0,0.067,0.0,0.006,0.022,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-26,3.0,0.0,0.286,1.0,0.0,0.0,0.067,0.0,0.006,0.022,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
SDN,Africa,Sudan,2020-03-27,3.0,0.0,0.286,1.0,0.0,0.0,0.067,0.0,0.006,0.022,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,
